title,description
Snobbery and the housing crisis,"Sir, – The willingness of the Government to spend hundreds of millions on rent subsidies – paying landlords to provide for social need – is even more shocking than noted by Fintan O'Toole ("" Snobbery is at the root of the housing crisis "", Opinion & Analysis, October 20th). Your columnist points out"
Safe as houses in engineer’s extended Greystones cottage for €1.175m,"Commuters from Wexford and Wicklow to the capital have Irish engineer James Price to thank for the safety of the railway line that links Dublin to the south east. The railway was originally designed by noted British engineer Isambard Kingdom Brunel, but he never considered the underlying rock which "
The mess and the stress of a house move? It's right up her street,"There are websites devoted to virtually every notion the human mind can conceive. So it is hardly surprising that someone looking to sell a home or find a new one can, in a heartbeat, find any number of places online offering advice and lists of things to do to take the stress out of getting the job"
Apollo House purchase puts Marlet one step closer to owning historic block,"As news emerges of the Marlet Property Group's reported €56 million purchase from Nama of the former Apollo House site on Tara Street, the developer is one step closer to assembling a unique 1-hectare (2.45-acre) city block at the heart of Dublin's historic core. Bounded by Townsend, Tara, Poolbeg a"
Fintan O’Toole: Snobbery is at the root of the housing crisis,"Of all the problems that have gone into the creation of the housing crisis, the easiest to remove is also the most tenacious. It is a problem, not of money or land or building capacity, but of attitude. It is the problem of snobbery, a deep prejudice against social housing and the people who live in"
Brexit weighs on UK housing market - Nationwide,"British house price growth remained weak in June as uncertainty about Brexit hung over the market, mortgage lender Nationwide said on Tuesday. House prices increased by 0.5 per cent compared with a year ago, slowing slightly after a 0.6 per cent rise in May but in line with the median forecast in a "
It’s the 1970s all over again as house plants grow on us,"Care to hazard a guess as to the rising stars of social media in this digitally-obsessed age of ours? No, it's not the cosmetically-enhanced wannabes whose pouting images are plastered all over Instagram or the YouTubers with their Colgate-white smiles and cheesy salesmen's patter. Instead – and how"
"Private developers should not be relied on for affordable housing, forum told","The Government does not need private developers to provide affordable homes, a conference on housing has heard. Hugh Brennan, the chief executive of Ó Cualann Cohousing Alliance, said not-for-profit approved housing bodies had the capacity to provide affordable housing, for sale or rent, without the"
House price inflation at new low as more homes hit market,More residential properties were listed for sale in May than in any month since early 2008 as house price inflation eased to its lowest rate since late 2013. Daft.ie’s latest data shows housing prices were 3.7 per cent higher in the second quarter than for the same period a year earlier. The average
Builders sought for first affordable purchase houses in Dublin,"Dublin City Council is seeking developers to build more than 370 affordable homes for low- and middle-income workers to buy at sites in Ballymun and Ballyfermot. The council has selected three sites for its first affordable housing projects in more than a decade, even though it has yet to be issued "
Make houses cheaper: Government urged to reduce rate of VAT on new houses,"The continuation of the Central Bank's restrictions on mortgage borrowing means the Government needs to reduce the rate of VAT on new houses to deliver increased supply of housing, particularly apartments, according to Property Industry Ireland (PII), the representative body for the property sector."
Can I save on capital gains tax with a little house upgrade?,"Having purchased a house in 1986 and lived there for 10 years until 1996, could I reduce capital gains tax payable if I decide now to do a little upgrade on the property , live there for two years and then sell on? Ms G D , email You’ve owned this property for 34 years and appear to be intendi"
Property Price Register posts big house sales during lockdown,"The property market may be emerging from a quiet few months on foot of coronavirus, but that’s not to say there hasn’t been some activity. Some big sales surfaced on the Property Price Register in recent weeks that are likely to be among the biggest of the year. First up there's Thorndale in Dartry,"
Dublin house prices more than nine times the average salary,"Dublin’s housing market may have reached “peak affordability” with prices now more than nine times the average salary, a level not seen since the height of the boom. An analysis of the latest house price data from the Central Statistics Office shows the median price paid for a house in the capital w"
The Ranelagh house you’ve been waiting for ... at €1.45m,"There is an immediate feeling of warmth on entering 36 Mountpleasant Avenue Lower in Ranelagh. The yellow ochre walls are reminiscent of the gentle heat of a late summer’s evening. It is surprising that this colour, a favourite pigment of Renaissance artists is not used more in period houses, as the"
Housing crisis: Land sale to highest bidder must ‘be reviewed’,"Government should reconsider its policy of selling land to the highest bidder for building affordable housing, the Society of Chartered Surveyors Ireland has said. Selling public land for the highest price usually does not produce the best outcome for affordable housing delivery, the society has sai"
Housing market ‘has stabilised’ with price growth set to stay weak,"The State’s housing market has stabilised with price growth in Dublin and other urban areas likely to remain weak for the foreseeable future, a senior analyst has claimed. While asking prices are still a significant multiple of average salaries, John McCartney, director of research at Savills, said "
Affordable house prices offer hope – but only to some,"News that affordable homes would be available in Dublin from as little at €116,000, with three-bed duplexes for a frankly astonishing €176,000, will offer hope to hard-pressed renters that they can finally get on the property ladder. Some commentators may urge caution about a rush to buy, and will a"
Housing crisis: How each of the political parties say they’re going to fix it,The Housing Fix is an Irish Times series exploring solutions to Ireland’s housing crisis – arguably the biggest social and economic issue facing the country and its next government – in the run-up to the general election. Housing is one of the key battlegrounds in the general election – there is co
The affordable housing scheme changed my life,"I stand on my balcony in December sun, watching the comings and goings of neighbours opposite. The last of the cleaning has been done - kitchen cupboards, skirting boards, the works. Contracts are about to be exchanged and all I have left to take is my collection of potted herbs. I feel a huge pang "
Big prices for tiny houses and a Chinese bidding frenzy in Bray,"Auction results Tuesday, July 23rd Fonsie Mealy, Chatsworth Summer Fine Art Auction Castlecomer, Co Kilkenny Vivien Greene's dolls houses achieved the following: Belgravia 1850, €6,000 (€6,000-€8,000), Portobello, 1700s, €12,000 (€8,000-€12,000) and The Travelling Baby House achieved €48,000 more "
Cavan GAA to launch Dublin house raffle fund-raiser,Cavan are the latest county board to cash in on the still buoyant Dublin property market as a means of raising funds for their latest GAA development. Plans are now in place to develop a new Polo Grounds Centre of Excellence adjacent to their county grounds at Kingspan Breffni Park in Cavan town. Na
Housing experts warn Government against short-term measures to address crisis,"Leading housing experts have warned the Government not to introduce short-term measures to address the current crisis in Tuesday’s budget, suggesting further tax incentives for buyers would only inflate land values without improving affordability. ""Around the time of the budget, there is always an i"
How renting out rooms can help pay for your house,"It's known as a house hack. And no, it doesn't have anything to do with Ikea. It's the latest investment craze sweeping the internet, and has become popular in the US where multifamily homes are common. House hacking allows you to live in a home without actually paying for it thanks to the rent prov"
Irish house prices are heading for ‘soft landing’ - S&P,"Irish house prices, along with housing markets elsewhere in Europe, are heading for a “soft landing” ratings agency S&P said on Monday. But a soft landing in an Irish context still means another three years of strong growth until supply catches up with demand around 2021. It was famously promised mo"
KBC sees Irish house prices falling 12% amid Covid-19,"KBC Group sees house prices in the Republic falling by 12 per cent this year, as the economy deals with the coronavirus crisis, the Belgian banking giant signalled on Thursday as it reported that its Irish unit managed to remain profitable in the first quarter. The figure is described as a “base cas"
"Funding has not run out for home loan scheme, says Minister for Housing","A memo instructing the Department of Housing not to take any more applications under a flagship loan scheme for first-time buyers was never seen by the Minister, an Oireachtas committee heard on Wednesday. The joint Committee on Housing, Planning and Local Government was told the memo dated January "
Developers and the housing crisis,"Sir, – Fintan O'Toole harkens back to the good old days of the 1930s and 1940s, when the State built massive council estates to house those citizens who could not afford to house themselves ("" It is insane to look to developers to solve the housing crisis "", Opinion & Analysis, (September 18th). Thi"
Dublin house prices now falling by 1.6% as coronavirus infects market,Dublin property prices fell by 1.6 per cent in the year to August as Covid-19 effectively put the brakes on the market. The latest Residential Property Price Index from the CSO also points to a 40 per cent drop in the number of transactions in August compared with the same month last year. The figur
Davy downgrades housing forecasts as market cools,"Irish stockbroker Davy has downgraded its housing forecasts amid a slowdown in price growth. In response to a report from property website myhome.ie showing inflation at just 0.3 per cent in the third quarter, Davy said it had revised down its forecast for inflation to 1 per cent by December from 3 "
Japan has opposite problem to Ireland: it is giving houses away,"If the thought of trying to buy a family home in Ireland's super, soar-away property market makes you want to reach for a stiff drink, spare a thought for Japan, which is grappling with the opposite problem: collapsing house and land prices. Local governments are offering subsidies and perks to lure"
"Murphy could stop housing delays with stroke of pen, conference told",Minister for Housing Eoghan Murphy could stop the bureaucracy delaying housing projects being built “with the stroke of a pen” a housing conference heard. Lord Mayor of Cork Mick Finn said the homelessness crisis is “very serious” in Cork and the delivery of housing projects there has been delayed a
Vico Road house in Killiney sells off market for top price this year of €5.5m,"A Victorian villa with expansive sea views on Vico Road has quietly become the biggest residential sale of the year so far. Strawberry Hill House on 0.75 acres in Killiney, once owned by Rick Savage from Def Leppard and later by aviation tycoon Declan Ryan, sold in recent weeks for about €5.5 millio"
McVerry says a 12-year-old could see housing policy not working,"Homelessness campaigner Fr Peter McVerry has insisted that a 12-year-old child could determine that the Government’s housing policy is not working. The latest homelessness figures, published by the Department of Housing last week, showed the number of homeless children has more than doubled in some "
"Despite shortage, houses being left unsold","Perhaps the most notable part of the latest Goodbody report on housing is its conclusion that the stock of unsold properties are firmly on the rise. There have been plenty of reports from the industry of developments not selling out, but Goodbody crunched the numbers and found that in the four quart"
"Fewer houses will be built due to price slowdown, economist says","Fewer new properties will be built this year than previously expected on the back of a slowdown in house-price growth, a plateau in mortgage approvals, an increase in new stock for sale and an increase in build costs, a leading economist has said. Goodbody chief economist Dermot O’Leary said he beli"
Home thoughts from abroad: will I be able to buy a house?,"For anyone looking to relocate to Dublin, buy their first property, or trade up or down, the prospects for buying a home in 2019 look better than they did in 2018, but construction levels are still far off meeting estimated demand of 30,000- 35,000 new homes a year. The positive news is that more ho"
The 10 reasons why house prices and rents must fall,House prices in recent years should never have been allowed to soar to the point where they have become unaffordable for the vast majority of aspiring purchasers. Rents in the private rental sector are also unaffordable for most. Vendors seeking inflated prices for their homes have been forced to re
House prices and mortgage approval,"Sir, – Eoin Burke-Kennedy writes that ""large-scale income supports are undoubtedly driving"" a rise in property prices (""How are property transactions accelerating when viewings aren't allowed?"", Business, April 26th ). As things stand, no bank in the country will approve a mortgage for anyone whose"
Sharp slowdown in Dublin house price rises is predicted,"Property agents Savills is predicting a sharp slowdown in house price growth in Dublin in the coming months as the supply of new homes ramps up. The firm said the first indication of this “cooling off” should be revealed in the official house price figures for May, which will be published on Friday."
Cliff Taylor: Government being pulled deeper into housing market,"Another crisis, another agency. Creating a new body is one of the traditional Irish political routes to addressing a problem – the Health Service Executive was meant to tackle the health crisis, Irish Water was going to transform our creaking water infrastructure and so on. And so the housing crisis"
State needs to help young workers to access housing,"What do young workers want? For a number of years now, we have been told that compared with previous generations, the so- called millennials are seeking out something different – whether it be “purpose” in their jobs, flexibility to maintain a healthy work-life balance or co-living arrangements. Yet"
We are told houses are not over-priced. So how come they are unaffordable?,"House prices may now be fully valued in comparison to incomes, according to the latest analysis by the Central Bank, but still ""may not be affordable to a significant proportion of the population"". And so we are faced with the problem that a market in balance may still price many people out of buyin"
Developer wants thousands of acres of unzoned land designated for house building,"Cork property developer Michael O'Flynn has urged the Government to introduce an emergency measure that would involve designating thousands of acres of unzoned land in urban areas for house building. Mr O’Flynn believes his plan would bring down the price of land, a saving that could then be passed "
Almost 40% of surveyors expect Dublin house prices to fall,"Almost 40 per cent of chartered surveyors expect Dublin house prices to decline by the middle of next year on the back of improved supply, a Central Bank of Ireland survey has found. The property price survey, written with the Society of Chartered Surveyors Ireland (SCSI), showed that while 38 per c"
Is the housing crisis now starting to threaten jobs growth?,"City-centre rents and house prices are increasingly out of reach for those on average wages. As well as causing big problems for those directly affected, particularly younger employees and those returning to Ireland or coming to live here, this is also having a wider impact on the jobs market. But r"
Housing co-op offering innovative solution to housing crisis,"The Ó Cualann Cohousing Alliance has come up with an innovative solution to the catch-22 situation facing many families who find themselves earning too much to qualify for social housing but not enough to afford a mortgage on a home of their own. ""We founded Ó Cualann in 2014 to provide fully integr"
The Irish Times view on the politics of the housing crisis: Fine Gael is right to be rattled,The Government is clearly rattled by the potential of the housing crisis to undermine its prospects of being elected for another term. Tense exchanges in the Dáil and a large protest outside the gates of Leinster House in recent days have brought home to Taoiseach Leo Varadkar and his Cabinet collea
"Up to 10,000 attend rally demanding end to housing crisis","The housing and homelessness crises are now affecting “everyone” and could become “the new water charges” in terms of mobiling protesters, those at a rally demanding action on the issue said on Wednesday. Up to 10,000 people, from all age groups, sectors and parts of the country, took part on the #R"
Breda O’Brien: Government's latest housing plan is doomed to failure,"The high walls of the Central Mental Hospital in Dundrum, Dublin, are a landmark for many. The site has the potential to become a landmark in an entirely different way, as a housing development that focuses not on the needs of the market, but of families. But will it happen? The publicly owned land "
House prices rose 12.4% in year to May but rate of growth is slowing,"House prices jumped 12.4 per cent in the year to the end of May, but the rate of growth slowed compared with the previous month, new figures show. The Residential Property Price Index, published by the Central Statistics Office, indicated a slowdown in the year to May compared with April's figures, "
Housing crisis likely to last for ‘foreseeable future’,"The housing crisis is likely to last for the “foreseeable future” and will have a major impact on economic growth and Irish society, a Government report has warned. The stark warning comes in an annual assessment of risks from Taoiseach Leo Varadkar’s own officials. Even with Government measures suc"
New housing data highlights the task facing the government,"A very significant data gap in the housing area has been filled as the CSO has published its own estimate of housing completions in Ireland. Policymakers should now focus their attention on resolving the issue of undersupply, which according to the new data, is even bigger than was suspected, withou"
David McWilliams: Want to find the cause of the housing crisis? Look in the mirror,"Let’s look at the housing shortage through the lens of planning permission objections. We rarely think about the impact on house prices of individuals or groups of individuals opposing planning permission. Each objection may be legitimate but, in the aggregate, planning objections have a knock-on ef"
Una Mullally: Housing crisis will collapse in on top of Fine Gael,"In January, Minister for Housing Eoghan Murphy issued a statement: “We are determined as a government to increase the stock of social housing by 50,000 by 2021 under Rebuilding Ireland, with money securely ring-fenced to do this. After our first 18 months of work, we are ahead of target.” The govern"
Corbyn is right at home talking about the housing crisis,"On Monday and Tuesday, Jeremy Corbyn sat in the House of Commons as Labour MPs rose to denounce him, first for questioning the legal basis of air strikes on Syria, and then for his inadequate response to anti-Semitism in his party. On Wednesday, his internal critics grumbled that he fluffed his line"
How high can they go? Six factors affecting Irish house prices,"Thinking of buying a home or an investment property this autumn? Or maybe you’re selling? If you are then you’ll be wondering where house prices will go next. While being prescriptive is a near-impossible task, there are factors that can give you an insight into just what we might expect this autumn"
How many houses do we really need?,"Ireland’s housing crisis seems to predate history but, as recently as 2013, we actually had a surplus of properties. At that time rents and house prices were falling, vacancy rates were in double digits and there were over 1,200 ghost estates. The turnaround since then shows how quickly the balance "
Social housing: Can councils afford Dublin’s sky-high prices?,"It’s a predicament across the world. In New York, the city authorities offered developers tax breaks if they committed to making a certain percentage of new builds available for affordable housing. The canny developers came up with a solution that wouldn’t affect prices at their ritzy tower blocks: "
Housing movement like anti-water charges campaign urged,"A massive movement similar to the anti-water charges campaign must be mobilised “to force Government action on the housing crisis”, a conference heard on Tuesday. The meeting, called by the Irish Congress of Trade Unions (Ictu) to mark the publication of a Charter for Housing Rights, heard calls for"
"House prices rebound, 400 jobs for Limerick, and Paul Mescal in new Virgin Media drama","House prices have bounced back since the lifting of coronavirus lockdown restrictions, rising by 4.3 per cent between June and August, according to a new report by property website MyHome.ie and stockbroking firm Davy. Eoin Burke-Kennedy and Charlie Taylor report. Cabinteely Football Club chairm"
Social housing price caps need to be dropped for docklands,"Local authorities need to be allowed to break Department of Housing funding caps to secure social housing in the docklands and other affluent areas of the capital, a senior Dublin City Council official has said. It emerged this week that there will be no social housing in property investment company"
House prices in midwest up 21.5% over past year,"House prices in the midwest have soared by more than a fifth over the past year, several times the slowing rate of growth in areas of Dublin, latest official figures show. Against an overall 8.4 per cent increase in residential property prices nationally in the year to October, the figure was 21.5 p"
Property 2018: Twelve standout houses we fell for this year,"SEAFIELD HOUSE Kilcrea, Donabate, Co Dublin Status Came to market in May, seeking €9.95 million; remains unsold Agent Sherry FitzGerald Country Homes Seafield House in Donabate was quite the surprise this year. Just a half hour by car from the city centre, the Palladian extravaganza at the e"
FF to push Government on slow progress in tackling housing crisis,"Fianna Fáil is to push the Government on what it says is slow progress on using credit union funds to help tackle the housing crisis, as the party prepares to decide whether to extend the confidence and supply deal. It is arguing that the Government has not delivered on a promise to establish a mech"
The ‘Economist’ says Dublin house prices are 25% overvalued,"House prices in Dublin are 25 per cent overvalued against income, according to the Economist, which also finds in a new survey that property price growth in the city has outpaced growth in 22 other global cities over the past five years. The finding from the influential newspaper comes on the back"
Housing crisis: new agency to develop State lands,"The release of State lands for the development of homes will be aimed at driving down the cost of housing in key areas of cities across Ireland, Ministers are expected to be told on Wednesday. Minister for Housing Eoghan Murphy will update the Cabinet on the National Regeneration and Development Age"
UK house price growth slows to lowest level in five years,"Annual house price growth in the UK slowed to its lowest levels in nearly five years in May, official figures show. Across the UK, average property values increased by 3 per cent in the year to May, down from 3.5 per cent in April, according to figures released jointly by the Office for National Sta"
House prices: have we reached peak affordability?,"House prices in Dublin are now more than nine times the average salary, a level not seen since the heady days of the boom, prompting some experts to suggest that we’ve reached peak affordability. This time around, we have Central Bank rules to keep a tight rein on borrowing and this may explain the "
"Housing cannot be left to market, say bishops","State-owned land should be used for local authority-built housing and not given to private developers, while caps should be placed on the price of privately sold building land, Catholic bishops have declared. Meanwhile, the bishops, speaking at the launch of the hierarchy's pastoral letter on housin"
Dublin’s true social divide is revealed by housing map,The assumption that Dublin’s social divide is between the north and south sides is firmly debunked in a new housing data resource to be unveiled on Monday. The Dublin Housing Observatory (DHO) “mapping viewer” illustrates starkly the capital’s east-west social and economic divide. The interactive ma
State to release significant land sites for affordable housing,"The State plans to significantly increase its intervention in the private housing market by releasing substantial tranches of State land to build affordable housing. The move, the Affordable Purchase Scheme, is one of three new schemes announced by Minister for Housing Eoghan Murphy that also includ"
Dublin house prices fall 0.7% as Covid-19 puts the brakes on market,Property prices in Dublin have fallen by 0.7 per cent in the year to June as a result of the coronavirus pandemic. The latest official figures from the Central Statistics Office also point to a 33 per cent drop in the number of transactions in June compared with the same month last year. The figures
Housing crisis: The Berlin solution and the Vienna model,"Anyone who lived in Berlin in the years just after the fall of the wall will remember a city – and housing market – that seemed to exist outside the laws of market economics. There were more apartments than tenants, and landlords often offered sweeteners – a free kitchen, three months’ free rent – t"
Government buys Blackrock period house for €8m,"The Department of Education has outbid several housebuilders to gain control of a large period house and nearly 3 acres of development land off Newtownpark Avenue in Blackrock, Co Dublin. The Government department has sealed the deal by offering €8 million – €1 million more than the guide price – fo"
Developers and the housing crisis,"Sir, – As Fintan O'Toole points out, there appears to be an assumption in the proposed Land Development Agency that building development companies, set up to maximise dividends to private investors, will behave differently this time around ("" It is insane to look to developers to solve housing crisi"
Irish house prices sky-high due to finance not scarcity,"Economists regard the theory of supply and demand as nothing less than a “law” and as one of the fundamental principles governing “the economy”. Almost every economic event or phenomenon is considered the product of the interaction of the laws of supply and demand, argues The Concise Encyclopedia o"
Expert warns of another boom and bust in Irish house prices,"The current boom in property prices could trigger another housing bubble, even though it is not being fuelled by a boom in credit, a leading housing expert has warned. University College Dublin academic Michelle Norris said a feature of the current market had been the influx of big investment funds "
Budget 2020: ‘Brexit budget’ draws criticism over climate change and housing,"Minister for Finance Paschal Donohoe has delivered a ""Brexit budget"" amid criticism of the Government over its measures to tackle climate change and the housing crisis. Mr Donohoe said Brexit was the “most pressing and immediate risk to our economy” and announced a €1.2 billion package to tackle the"
Coming to terms with the housing crisis,"Sir, – In "" The left always thinks it is right about housing crises "" (Business Opinion, June 21st), Mark Paul suggests that labour costs as a particular area of concern and quotes figures from a Society of Chartered Surveyors in Ireland report The Real Cost of Housing Delivery from 2017. However, t"
ESRI urges more aggressive site tax to spur housing supply,"Vacant development sites should be taxed more aggressively and loopholes being used by landowners closed to cut the cost of building homes and spur supply, according to a senior economist at the Economic and Social Research Institute (ESRI). Speaking to reporters ahead of the publication on Thursday"
Northern Ireland house prices rise faster than anywhere else in UK,"Property prices in the North rose faster than anywhere else in the UK last year, defying a pre-Brexit slowdown which saw average UK house-price growth slump to its lowest levels since 2013, a new report shows. The Nationwide, which is the UK’s largest building society, said house prices in Northern "
Do soaring house prices in Ireland really make us wealthy?,"Are you feeling rich? New Central Bank figures this week showed Irish household wealth is, in total, higher than ever before. But this is yet another reflection of the property boom-and-bust cycle. Your house is an asset – and so as its price goes up so does your wealth. But what are we worth now on"
"Council paying rents up to €2,800 a month for affordable housing","Dublin City Council is paying as much as €2,800 a month – considerably more than Government-set limits – to a landlord to house a family in the city, reflecting the ongoing rental crisis as local authorities struggle to find homes within agreed limits. According to figures obtained from the Departme"
Former Housing Agency chief says cheaper and affordable housing possible,"The former head of the Housing Agency is warning the Government to remain financially prudent and not to ""give in"" to the building sector. Conor Skehan, who is a lecturer in planning, said as a country Ireland needed to change what is acceptable as ""affordable"" housing. He said in other countries “s"
The Hazel House: Charming hideaway for lunch or a quick bite,"It’s seldom that you visit a restaurant where there are chickens pecking around, and ducks squawking in the background. Okay, maybe if you are in France, where the nicely fattened duck is destined to finish off its well-fed life on your plate as a terrine de foie gras, confit and magret de canard. N"
"Housing crisis: Dublin should ‘look at what California has done, and don’t do it’","Mike Reed's camper is parked on the side of the road alongside the boundary to Stanford University in Palo Alto, California, in the heart of Silicon Valley. To one side of his vehicle are the well-kept playing fields and tree-lined avenues of Stanford's campus. To the other, traffic whirs past along"
Have we reached peak housing?,"The co-founder of Glenveagh Properties this week cast doubt on whether the private sector would ever be able to deliver the 35,000 housing units necessary to meet demand in the Irish market, a notion that must have sent shivers through Government. At a press briefing following the company's first fu"
Criminal assets: Six Irish houses with dark pasts,"Jessbrook, the former home of convicted criminal John Gilligan has been declared ""sale agreed"", eight months after it went up for sale with what was seen as a low €120,000 guide price. The selling price is believed to be a lot higher than the guide for the country house on over five acres near Enfie"
Selling your house in the bleak midwinter? All is not lost,"Whether we realise it or not, when poring over brochures in search of a new property, those with blue skies and lush gardens will have a far greater appeal than those depicting bare trees and dull, grey clouds overhead. With that in mind, getting people to view your property can be difficult during "
Dáil returns with parties set to battle over health and housing under Brexit cloud,"The demise of the 32nd Dáil, due to its minority government, has been anticipated since its opening days in spring 2016. TDs have been on election tenterhooks for almost four years but the end is finally in sight. The Dáil returns from its summer recess on Tuesday for what will possibly be its last "
Dublin house prices up almost nine times the rate incomes grew,"Dublin house prices rose at almost nine times the rate that workers’ income grew over the last six years, credit analysts say in a new report. Moody’s Investor Service, which assesses organisations’ ability to repay debts, published a report on Thursday ranking the Republic’s capital among the Europ"
"Irish housing policy aggravating homelessness, says EU Commission","The European Commission has strongly criticised the Government's housing policy, suggesting rapidly rising rents, insufficient residential construction and a lack of affordable and social housing were driving increased rates of homelessnes in Dublin and elsewhere. In its latest assessment of country"
Housing co-op event to be held in Dublin,"A housing think tank that promotes the concept of co-operative or ""self organised"" housing will hold an information day in association with the Housing Agency in Dublin on Saturday. A small number of co-ops, where developments are planned, built and run by their residents, are currently building hom"
Dublin House of Fraser to come under control of Sports Direct,Dublin’s House of Fraser store is to come under the ownership of Mike Ashley’s Sports Direct. But there will be a slight delay as its status as a separate legal entity to the group’s UK operations means there are regulatory matters to be dealt with before the deal is finalised. Initial assertions by
Why are Irish house prices so volatile - and will the rollercoaster ever end?,"Nowhere is the Irish boom and bust cycle more evident than in the housing market. Ireland had the fastest growth in house prices in the run up to the bust, the biggest collapse . . . and now the most rapid recovery. Welcome to one of the world’s most volatile housing markets. The Smart Money The pat"
New Dublin homeowners ‘not too worried’ about house price fall,"First-time buyers Nikki Willis (26) and Rob Pallin (27) started talking about buying a house about three years ago, but with property prices skyrocketing and Central Bank limits on getting a mortgage the issue took something of a back seat. However, about 18 months ago they “put the foot down” and b"
"House prices ‘a concern’, says KBC Ireland chief","Irish house prices are ""a concern"", the chief executive of one of the State's main mortgage lenders told the Oireachtas finance committee on Tuesday. KBC Bank Ireland's Peter Roebben said it has become more difficult for many would-be buyers to secure a mortgage following a surge in values in recent"
Davy lowers revenue forecasts for Cairn as house price growth dips,"Davy has lowered its revenue forecasts for construction firm Cairn Homes, citing a lower rate of house price growth in Ireland in the next two years. However, analysts said an improvement in gross margin meant any impact on profit expectations was limited. In a note, Davy said it had cut revenue for"
Affordable housing,"Sir, – It is getting truly painful reading reports on how our esteemed elected representatives contort themselves as they appear to be trying to deal with the homelessness crisis ("" Dublin councils to vote on affordable housing scheme "", News, May 13th). Aside from the extraordinary criteria list to"
Home delivery: box fresh houses from factory to site in three easy steps,"A leading UK property development group has told a Dublin conference how their booming modular portfolio has been a ""game changer"" for the country's housing shortage. Speaking at the Society of Chartered Surveyors Ireland Proptech and Smart Construction Conference last week, Urban Splash senior deve"
Housing and hoarding land,"Sir, – Your business section ( January 13th ) reports that mortgages on all home purchases will rise to €9 billion in 2020. The question arises as to how much of this €9 billion should be attributed to a site-value premium, that is the value attributed to the site in excess of its basic agricultural"
Housing crisis: Has the Government delivered on rebuilding Ireland?,"There was a time when the only career-damaging promotion for an ambitious politician was to be appointed Minister for Health. But since 2014 another government department has shown itself capable of scorching reputations. That’s the Department of Housing. Three Ministers – Alan Kelly, Simon Coveney "
The Irish Times view on housing demand: Running out of builders,The study by the Economic and Social Research Institute (ESRI) which shows that Ireland will need an influx of foreign workers to meet the State's housing needs poses a serious challenge for policy makers. The ESRI conceded that the level of immigration required by the construction industry will add
Rents edge up in June as house prices fall,"Rents rose in June while house prices declined, despite a substantial increase in activity in the property market, according to a report from property website Daft.ie. Rents rose just 0.2 per cent in the 12 months to June with the average monthly listed rent now €1,402. The price of homes to buy was"
House price inflation outside Dublin driven by pent-up demand,"The house price inflation gap is growing faster in the regions than it is in Dublin. According to the Banking & Payments Federation Ireland’s most recent Housing Market Monitor, for the third quarter of 2018, prices increased by 8.2 per cent in the year to September, the lowest rate of annual growth"
"Hard Brexit would damage ability to build houses in State, TDs told","The Republic will face “significant challenges” in the building of houses in the event of a hard Brexit due to its heavy reliance on the United Kingdom for imports of construction materials and fossil fuels, two influential think tanks have said. Officials from the Economic and Social Research Insti"
Dermot Desmond trust wants to demolish State's most expensive house,"A trust associated with businessman Dermot Desmond has sought planning permission to demolish Walford on Shrewsbury Road, the most expensive house ever sold in the State. Celtic Trustees, whose beneficiaries are Desmond's children, has ambitions to demolish the 554 sq m (5,963 sq ft) house, which it"
Would you buy a house someone had been murdered in?,"Every old house has its secrets. As a new owner, you will probably never find out what went on within those four walls, and in many cases, there’s probably much you wouldn’t want to know. But what if you found out something about its past so dark, you couldn’t forget? Is there anything you wouldn’t "
BAM aims to take advantage of housing boom with MHI stake,"Construction group BAM hopes to cash in on housing demand through the purchase of a minority stake in Modern Homes Ireland (MHI), which builds prefabricated dwellings and commercial units. MHI employs 120 people in Ballyjamesduff, Co Cavan, where it produces 500 prefabricated or ""modular"" steel-fram"
"Falling house prices, Ryanair job threats, and Aldi’s new delivery service","House prices fell by almost 3 per cent to an average price of €268,000 as Covid-19 struck in the second quarter of the year, according to property website, Myhome.ie. Barry O'Halloran examines the latest report. Ryanair has warned it could close bases at Cork and Shannon airports and let go "
Housing crisis and ‘cuckoo funds’,"A chara, – That “cuckoo funds” are buying up an ever-increasing amount of housing in Ireland is sad reflection of just how effective Fine Gael’s right-wing policies of the last eight years have been. They not only permitted but actively abetted what the UN has called “the financialisation of housing"
"Average house prices rise €21,000 nationally over 12 months to June","Property price growth eased in June, with house prices advancing by 12 per cent, down from 12.4 per cent in May and 13.3 per cent in April. The latest increase means that the typical homeowner will have seen the value of their property increase by about €21,000 nationally over the 12 months to June."
Summerhill house occupation: Who is involved and why did it happen?,"On Thursday a High Court judge ordered a group of protesters occupying a property in north inner city Dublin to vacate the building by 8am on Friday, August 17th. The activists broke into the house, 35 Summerhill Parade, Ballybough, Dublin 1, last Tuesday (August 7th) and took up occupation in the b"
Why are so many owners leaving their houses and apartments vacant?,"Increasingly frustrated by the lack of houses coming on to the market in Dublin as the spring selling season was supposedly getting under way, we decided to take matters into our own hands. If sellers weren’t coming to us, we would go to them. Prompted by three stories we heard in one week about peo"
Growth in house prices slowed to 3.7% nationally in first nine months of year,"Tighter lending rules and an increase in the number of new homes slowed the rate at which house prices rose in the nine months to the end of September , latest figures show. The average price of a second hand home rose 3.7 per cent in the first nine months of the year against 6.8 per cent during the"
Why your house might be worth less (or more) than you think,"Who hasn't sneakily checked the property price register after a neighbour's property is sold, or to see what a house you bid on some years ago eventually sold for, or to satisfy your curiosity on what a friend paid for her new house? Maybe it makes you feel more confident, or wise to have bought, wh"
